initial conc.	well	 Raw Data (340-30/440-40)
30.0	E01	157216
30.0	C01	160765
30.0	A01	171379
20.0	F01	114439
20.0	D01	110587
20.0	B01	116885
15.0	E02	91677
15.0	C02	90501
15.0	A02	91289
10.0	F02	64727
10.0	D02	62184
10.0	B02	65843
7.5	E03	51676
7.5	C03	51404
7.5	A03	54532
5.0	F03	35552
5.0	D03	34434
5.0	B03	36488
3.75	E04	28418
3.75	C04	28089
3.75	A04	29528
2.5	F04	19407
2.5	D04	19742
2.5	B04	19276
1.875	E05	15839
1.875	C05	16222
1.875	A05	17248
1.25	F05	11784
1.25	D05	12384
1.25	B05	11778
0.9375	E06	10022
0.9375	C06	10502
0.9375	A06	10661
0.625	F06	8070
0.625	D06	7734
0.625	B06	7817
0.46875	E07	7066
0.46875	C07	7401
0.46875	A07	7866
0.3125	F07	5924
0.3125	D07	6017
0.3125	B07	6520
0.234375	E08	5370
0.234375	C08	6145
0.234375	A08	6409
0.15625	F08	5105
0.15625	D08	5079
0.15625	B08	5643
0.1171875	E09	4687
0.1171875	C09	4878
0.1171875	A09	5282
0.078125	F09	4770
0.078125	D09	4647
0.078125	B09	4972
0.05859375	E10	4254
0.05859375	C10	4798
0.05859375	A10	5307
0.0390625	F10	4850
0.0390625	D10	4221
0.0390625	B10	4622
0.029296875	E11	4075
0.029296875	C11	4263
0.029296875	A11	5130
0.01953125	F11	3977
0.01953125	D11	4056
0.01953125	B11	4491
0.0	F12	3902
0.0	E12	4135
0.0	D12	4008
0.0	C12	4280
0.0	B12	6131
0.0	A12	5275
