initial conc.	well	 Raw Data (340-30/440-40)
30.0	G01	4536
30.0	E01	7076
30.0	C01	7085
30.0	A01	8593
20.0	H01	7918
20.0	F01	7773
20.0	D01	7823
20.0	B01	7527
15.0	G02	6672
15.0	E02	6366
15.0	C02	6405
15.0	A02	8430
10.0	H02	18862
10.0	F02	15154
10.0	D02	13856
10.0	B02	14530
7.5	G03	53344
7.5	E03	54496
7.5	C03	53685
7.5	A03	46694
5.0	H03	35730
5.0	F03	38668
5.0	D03	38819
5.0	B03	38573
3.75	G04	28490
3.75	E04	35933
3.75	C04	29484
3.75	A04	30924
2.5	H04	23041
2.5	F04	22621
2.5	D04	20552
2.5	B04	20499
1.875	G05	17899
1.875	E05	17279
1.875	C05	17330
1.875	A05	18016
1.25	H05	13916
1.25	F05	13279
1.25	D05	12915
1.25	B05	12495
0.9375	G06	10787
0.9375	E06	10750
0.9375	C06	10704
0.9375	A06	12037
0.625	H06	8967
0.625	F06	8670
0.625	D06	8884
0.625	B06	8640
0.46875	G07	7603
0.46875	E07	7339
0.46875	C07	7850
0.46875	A07	7889
0.3125	H07	6278
0.3125	F07	6616
0.3125	D07	6463
0.3125	B07	6674
0.234375	G08	5513
0.234375	E08	5631
0.234375	C08	5750
0.234375	A08	6103
0.15625	H08	5127
0.15625	F08	5332
0.15625	D08	5474
0.15625	B08	5664
0.1171875	G09	5193
0.1171875	E09	5066
0.1171875	C09	4883
0.1171875	A09	6750
0.078125	H09	5077
0.078125	F09	4855
0.078125	D09	4597
0.078125	B09	4382
0.05859375	G10	4536
0.05859375	E10	4436
0.05859375	C10	4660
0.05859375	A10	6611
0.0390625	H10	4543
0.0390625	F10	4403
0.0390625	D10	4249
0.0390625	B10	4460
0.029296875	G11	4282
0.029296875	E11	4700
0.029296875	C11	4217
0.029296875	A11	8550
0.01953125	H11	4218
0.01953125	F11	4799
0.01953125	D11	4357
0.01953125	B11	4849
0.0	H12	4860
0.0	G12	4350
0.0	F12	4636
0.0	E12	4590
0.0	D12	4846
0.0	C12	6064
0.0	B12	7962
0.0	A12	8183
