Run Name,221004 ABm1-40 10.7.19
Run Date,02:22:41 PM   10-04-22
Method Name,Superdex75_10/300 SEC
Export Format Version, 1.00
Method ID, 2601
Points/Second, 5.00
Number of Records,  12295
Offset from Run Start Time,00:00:00
Run End Time,00:41:00
Time,Second
UV,AU,
Conductivity,mS/cm
Gradient Pump,<Not Selected>
Trace 3,<Not Available>
Trace 4,<Not Available>
Trace 5,<Not Available>
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,UV,Conductivity,Volume
     0.0,-0.000153,   3.803,     0.0
     0.2,-0.000194,   3.803,     0.0
     0.4,-0.000228,   3.803,     0.0
     0.6,-0.000260,   3.803,     0.0
     0.8,-0.000287,   3.803,     0.0
     1.0,-0.000348,   3.803,     0.0
     1.2,-0.000458,   3.796,     0.0
     1.4,-0.000472,   3.796,     0.0
     1.6,-0.000447,   3.783,     0.0
     1.8,-0.000392,   3.783,     0.0
     2.0,-0.000377,   3.783,     0.0
     2.2,-0.000407,   3.783,     0.0
     2.4,-0.000435,   3.783,     0.0
     2.6,-0.000449,   3.783,     0.0
     2.8,-0.000470,   3.783,     0.0
     3.0,-0.000498,   3.783,     0.0
     3.2,-0.000521,   3.783,     0.0
     3.4,-0.000526,   3.783,     0.0
     3.6,-0.000546,   3.783,     0.0
     3.8,-0.000577,   3.769,     0.0
     4.0,-0.000641,   3.769,     0.0
     4.2,-0.000729,   3.769,     0.0
     4.4,-0.000776,   3.769,     0.0
     4.6,-0.000765,   3.769,     0.0
     4.8,-0.000728,   3.776,     0.0
     5.0,-0.000655,   3.762,     0.1
     5.2,-0.000591,   3.762,     0.1
     5.4,-0.000523,   3.762,     0.1
     5.6,-0.000470,   3.762,     0.1
     5.8,-0.000468,   3.762,     0.1
     6.0,-0.000473,   3.762,     0.1
     6.2,-0.000499,   3.762,     0.1
     6.4,-0.000520,   3.762,     0.1
     6.6,-0.000520,   3.762,     0.1
     6.8,-0.000531,   3.762,     0.1
     7.0,-0.000532,   3.762,     0.1
     7.2,-0.000554,   3.762,     0.1
     7.4,-0.000558,   3.762,     0.1
     7.6,-0.000521,   3.762,     0.1
     7.8,-0.000486,   3.762,     0.1
     8.0,-0.000451,   3.762,     0.1
     8.2,-0.000370,   3.762,     0.1
     8.4,-0.000260,   3.762,     0.1
     8.6,-0.000244,   3.762,     0.1
     8.8,-0.000241,   3.762,     0.1
     9.0,-0.000257,   3.762,     0.1
     9.2,-0.000287,   3.762,     0.1
     9.4,-0.000238,   3.762,     0.1
     9.6,-0.000219,   3.762,     0.1
     9.8,-0.000274,   3.762,     0.1
    10.0,-0.000370,   3.762,     0.1
    10.2,-0.000503,   3.762,     0.1
    10.4,-0.000590,   3.762,     0.1
    10.6,-0.000683,   3.762,     0.1
    10.8,-0.000790,   3.762,     0.1
    11.0,-0.000778,   3.762,     0.1
    11.2,-0.000757,   3.762,     0.1
    11.4,-0.000716,   3.762,     0.1
    11.6,-0.000645,   3.762,     0.1
    11.8,-0.000626,   3.776,     0.1
    12.0,-0.000572,   3.776,     0.1
    12.2,-0.000474,   3.776,     0.1
    12.4,-0.000427,   3.776,     0.1
    12.6,-0.000350,   3.776,     0.1
    12.8,-0.000314,   3.776,     0.1
    13.0,-0.000230,   3.776,     0.1
    13.2,-0.000120,   3.776,     0.1
    13.4,-0.000112,   3.776,     0.1
    13.6,-0.000120,   3.776,     0.1
    13.8,-0.000126,   3.776,     0.1
    14.0,-0.000162,   3.776,     0.1
    14.2,-0.000200,   3.776,     0.1
    14.4,-0.000194,   3.776,     0.1
    14.6,-0.000215,   3.776,     0.1
    14.8,-0.000183,   3.776,     0.1
    15.0,-0.000202,   3.776,     0.2
    15.2,-0.000232,   3.776,     0.2
    15.4,-0.000306,   3.776,     0.2
    15.6,-0.000381,   3.776,     0.2
    15.8,-0.000341,   3.776,     0.2
    16.0,-0.000280,   3.790,     0.2
    16.2,-0.000236,   3.790,     0.2
    16.4,-0.000214,   3.790,     0.2
    16.6,-0.000222,   3.776,     0.2
    16.8,-0.000281,   3.776,     0.2
    17.0,-0.000322,   3.790,     0.2
    17.2,-0.000394,   3.790,     0.2
    17.4,-0.000412,   3.790,     0.2
    17.6,-0.000432,   3.790,     0.2
    17.8,-0.000404,   3.790,     0.2
    18.0,-0.000350,   3.790,     0.2
    18.2,-0.000312,   3.790,     0.2
    18.4,-0.000282,   3.790,     0.2
    18.6,-0.000243,   3.790,     0.2
    18.8,-0.000220,   3.790,     0.2
    19.0,-0.000219,   3.790,     0.2
    19.2,-0.000233,   3.776,     0.2
    19.4,-0.000273,   3.776,     0.2
    19.6,-0.000282,   3.776,     0.2
    19.8,-0.000260,   3.776,     0.2
    20.0,-0.000179,   3.776,     0.2
    20.2,-0.000146,   3.790,     0.2
    20.4,-0.000147,   3.790,     0.2
    20.6,-0.000158,   3.776,     0.2
    20.8,-0.000175,   3.776,     0.2
    21.0,-0.000191,   3.776,     0.2
    21.2,-0.000248,   3.776,     0.2
    21.4,-0.000281,   3.776,     0.2
    21.6,-0.000279,   3.776,     0.2
    21.8,-0.000240,   3.790,     0.2
    22.0,-0.000208,   3.790,     0.2
    22.2,-0.000210,   3.790,     0.2
    22.4,-0.000263,   3.790,     0.2
    22.6,-0.000282,   3.790,     0.2
    22.8,-0.000286,   3.790,     0.2
    23.0,-0.000307,   3.790,     0.2
    23.2,-0.000317,   3.790,     0.2
    23.4,-0.000326,   3.790,     0.2
    23.6,-0.000313,   3.790,     0.2
    23.8,-0.000285,   3.790,     0.2
    24.0,-0.000251,   3.790,     0.2
    24.2,-0.000217,   3.790,     0.2
    24.4,-0.000197,   3.790,     0.2
    24.6,-0.000156,   3.790,     0.2
    24.8,-0.000083,   3.790,     0.2
    25.0,-0.000089,   3.790,     0.3
    25.2,-0.000111,   3.790,     0.3
    25.4,-0.000124,   3.790,     0.3
    25.6,-0.000137,   3.803,     0.3
    25.8,-0.000169,   3.803,     0.3
    26.0,-0.000138,   3.803,     0.3
    26.2,-0.000121,   3.803,     0.3
    26.4,-0.000145,   3.790,     0.3
    26.6,-0.000187,   3.790,     0.3
