UV 1_280,UV 1_280,Cond,UV 2_214,Conc B,,UV 2_214,
ml,mAU,ml,mS/cm,ml,%,ml,mAU
UV 1_280 ml,UV 1_280 mAU,Cond ml,Cond mS/cm,Conc B ml,%,UV 2_214 ml,mAU
-0.031914,2.875911,-0.030586,2.971422,-0.018631,100,-0.027931,52.885963
-0.03108,2.875635,-0.02892,2.971377,-0.0103,100,-0.023765,52.891979
-0.030247,2.87536,-0.027253,2.971353,-0.001969,100,-0.019599,52.874939
-0.029414,2.875083,-0.025586,2.97136,0.006362,100,-0.015432,52.824284
-0.028581,2.875098,-0.02392,2.971318,0.014693,100,-0.011266,52.825806
-0.027747,2.87518,-0.022253,2.97126,0.023023,100,-0.0071,52.844372
-0.026914,2.875261,-0.020587,2.97118,0.031354,100,-0.002934,52.876019
-0.026081,2.8753,-0.01892,2.97112,0.039685,100,0.001233,52.902641
-0.025247,2.875314,-0.017254,2.97107,0.048016,100,0.005399,52.91267
-0.024414,2.875311,-0.015587,2.970993,0.056347,100,0.009565,52.922657
-0.023581,2.875308,-0.01392,2.970945,0.064678,100,0.013731,52.936188
-0.022748,2.875304,-0.012254,2.970935,0.073009,100,0.017898,52.9445
-0.021914,2.875302,-0.010587,2.970905,0.08134,100,0.022064,52.952843
-0.021081,2.876574,-0.008921,2.970869,0.08967,100,0.02623,52.970764
-0.020248,2.881568,-0.007254,2.97083,0.098001,100,0.030396,52.994843
-0.019414,2.883202,-0.005587,2.970806,0.106332,100,0.034563,53.011593
-0.018581,2.883121,-0.003921,2.970751,0.114663,100,0.038729,53.01828
-0.017748,2.883039,-0.002254,2.970769,0.122994,100,0.042895,53.023079
-0.016915,2.882957,-0.000588,2.970839,0.131325,100,0.047062,53.030659
-0.016081,2.882877,0.001079,2.971031,0.139656,100,0.051228,53.041
-0.015248,2.882796,0.002745,2.971478,0.147987,100,0.055394,53.043049
-0.014415,2.882715,0.004412,2.972166,0.156317,100,0.05956,53.038841
-0.013581,2.882634,0.006079,2.972891,0.164648,100,0.063727,53.037067
-0.012748,2.882539,0.007745,2.973643,0.172979,100,0.067893,53.029839
-0.011915,2.882436,0.009412,2.974348,0.18131,100,0.072059,53.019535
-0.011082,2.882331,0.011078,2.974955,0.189641,100,0.076225,53.009399
-0.010248,2.882226,0.012745,2.975539,0.197972,100,0.080392,53.000244
-0.009415,2.882122,0.014412,2.976023,0.206303,100,0.084558,52.989388
-0.008582,2.881621,0.016078,2.976457,0.214634,100,0.088724,52.977089
-0.007748,2.880945,0.017745,2.976868,0.222964,100,0.09289,52.964142
-0.006915,2.880192,0.019411,2.977194,0.231295,100,0.097057,52.959461
-0.006082,2.879447,0.021078,2.977453,0.239626,100,0.101223,52.9608
-0.005249,2.878747,0.022744,2.977663,0.247957,100,0.105389,52.958965
-0.004415,2.878181,0.024411,2.977864,0.256288,100,0.109555,52.957474
-0.003582,2.877671,0.026078,2.978068,0.264619,100,0.113722,52.962505
-0.002749,2.87716,0.027744,2.978204,0.27295,100,0.117888,52.973774
-0.001916,2.876663,0.029411,2.978256,0.281281,100,0.122054,52.988869
-0.001082,2.876165,0.031077,2.978284,0.289611,100,0.126221,53.004597
-0.000249,2.875665,0.032744,2.978317,0.297942,100,0.130387,53.01894
0.000584,2.875171,0.034411,2.978312,0.306273,100,0.134553,53.034306
0.001418,2.874636,0.036077,2.978315,0.314604,100,0.138719,53.041637
0.002251,2.874075,0.037744,2.978249,0.322935,100,0.142886,53.047237
0.003084,2.873512,0.03941,2.978204,0.331266,100,0.147052,53.05386
0.003917,2.87317,0.041077,2.978088,0.339597,100,0.151218,53.057335
0.004751,2.873071,0.042744,2.978016,0.347928,100,0.155384,53.054672
0.005584,2.873032,0.04441,2.977969,0.356258,100,0.159551,53.052723
0.006417,2.872992,0.046077,2.977838,0.364589,100,0.163717,53.052998
0.007251,2.873037,0.047743,2.977757,0.37292,100,0.167883,53.058502
0.008084,2.873453,0.04941,2.97767,0.381251,100,0.172049,53.06171
0.008917,2.873979,0.051076,2.977545,0.389582,100,0.176216,53.057957
0.00975,2.87447,0.052743,2.977441,0.397913,100,0.180382,53.052673
0.010584,2.874968,0.05441,2.977356,0.406244,100,0.184548,53.052444
0.011417,2.875504,0.056076,2.977249,0.414575,100,0.188714,53.050858
0.01225,2.876065,0.057743,2.977129,0.422905,100,0.192881,53.047867
0.013084,2.876632,0.059409,2.97702,0.431236,100,0.197047,53.043915
0.013917,2.877103,0.061076,2.976942,0.439567,100,0.201213,53.033657
0.01475,2.877426,0.062743,2.976838,0.447898,100,0.20538,53.019909
0.015583,2.877707,0.064409,2.976767,0.456229,100,0.209546,53.005245
0.016417,2.877962,0.066076,2.976679,0.46456,100,0.213712,52.99321
0.01725,2.878103,0.067742,2.976587,0.472891,100,0.217878,52.978588
0.018083,2.878151,0.069409,2.976527,0.481222,100,0.222045,52.956779
0.018917,2.878199,0.071075,2.976476,0.489552,100,0.226211,52.925095
0.01975,2.878247,0.072742,2.976395,0.497883,100,0.230377,52.888443
0.020583,2.878145,0.074409,2.97633,0.506214,100,0.234543,52.859673
0.021416,2.877907,0.076075,2.976257,0.514545,100,0.23871,52.832809
0.02225,2.877671,0.077742,2.976229,0.522876,100,0.242876,52.799328
0.023083,2.877535,0.079408,2.976209,0.531207,100,0.247042,52.766361
0.023916,2.877561,0.081075,2.976175,0.539538,100,0.251208,52.730568
0.02475,2.877648,0.082742,2.976122,0.547869,100,0.255375,52.690228
0.025583,2.877735,0.084408,2.976102,0.556199,100,0.259541,52.655926
0.026416,2.877821,0.086075,2.976051,0.56453,100,0.263707,52.63203
0.027249,2.877906,0.087741,2.975994,0.572861,100,0.267873,52.616188
0.028083,2.877991,0.089408,2.975978,0.581192,100,0.27204,52.608753
0.028916,2.878075,0.091074,2.975888,0.589523,100,0.276206,52.599373
0.029749,2.878196,0.092741,2.975814,0.597854,100,0.280372,52.585621
0.030583,2.878349,0.094408,2.975724,0.606185,100,0.284538,52.577148
0.031416,2.878505,0.096074,2.97571,0.614516,100,0.288705,52.566151
0.032249,2.878661,0.097741,2.975681,0.622846,100,0.292871,52.554478
0.033082,2.879118,0.099407,2.975668,0.631177,100,0.297037,52.548645
0.033916,2.879831,0.101074,2.975664,0.639508,100,0.301204,52.544422
0.034749,2.880567,0.102741,2.975687,0.647839,100,0.30537,52.541725
0.035582,2.881198,0.104407,2.975688,0.65617,100,0.309536,52.538811
0.036416,2.881596,0.106074,2.975681,0.664501,100,0.313702,52.527405
0.037249,2.881887,0.10774,2.975662,0.672832,100,0.317869,52.505791
0.038082,2.882178,0.109407,2.97564,0.681163,100,0.322035,52.484333
0.038915,2.882466,0.111073,2.97562,0.689493,100,0.326201,52.464939
0.039749,2.882746,0.11274,2.975636,0.697824,100,0.330367,52.458298
0.040582,2.883023,0.114407,2.975637,0.706155,100,0.334534,52.454323
0.041415,2.883301,0.116073,2.975627,0.714486,100,0.3387,52.445095
0.042249,2.883718,0.11774,2.97561,0.722817,100,0.342866,52.439186
0.043082,2.884231,0.119406,2.975563,0.731148,100,0.347032,52.4319
0.043915,2.884755,0.121073,2.975549,0.739479,100,0.351199,52.417412
0.044748,2.885279,0.12274,2.975532,0.74781,100,0.355365,52.401676
0.045582,2.885598,0.124406,2.975526,0.75614,100,0.359531,52.395252
0.046415,2.88567,0.126073,2.975511,0.764471,100,0.363697,52.404987
0.047248,2.885669,0.127739,2.975493,0.772802,100,0.367864,52.412121
0.048082,2.885634,0.129406,2.975463,0.781133,100,0.37203,52.415485
0.048915,2.885534,0.131073,2.975471,0.789464,100,0.376196,52.441498
0.049748,2.885407,0.132739,2.975462,0.797795,100,0.380363,52.469448
0.050581,2.885282,0.134406,2.975474,0.806126,100,0.384529,52.494362
0.051415,2.885156,0.136072,2.975496,0.814457,100,0.388695,52.530964
0.052248,2.885009,0.137739,2.975472,0.822788,100,0.392861,52.583469
0.053081,2.884854,0.139405,2.97547,0.831118,100,0.397028,52.645256
0.053915,2.884697,0.141072,2.975447,0.839449,100,0.401194,52.701832
0.054748,2.884698,0.142739,2.975471,0.84778,100,0.40536,52.749863
0.055581,2.884784,0.144405,2.975531,0.856111,100,0.409526,52.804276
0.056414,2.884878,0.146072,2.97558,0.864442,100,0.413693,52.85215
0.057248,2.884972,0.147738,2.975635,0.872773,100,0.417859,52.876408
0.058081,2.885098,0.149405,2.975654,0.881104,100,0.422025,52.90519
0.058914,2.885373,0.151072,2.97562,0.889435,100,0.426191,52.937817
0.059748,2.885696,0.152738,2.975614,0.897765,100,0.430358,52.959347
0.060581,2.886204,0.154405,2.975616,0.906096,100,0.434524,52.972534
0.061414,2.887048,0.156071,2.975598,0.914427,100,0.43869,52.977268
0.062247,2.887995,0.157738,2.97559,0.922758,100,0.442856,52.985607
0.063081,2.888888,0.159404,2.975668,0.931089,100,0.447023,52.993465
0.063914,2.88974,0.161071,2.975721,0.93942,100,0.451189,52.998211
0.064747,2.890525,0.162738,2.975775,0.947751,100,0.455355,53.003174
0.065581,2.891205,0.164404,2.975803,0.956082,100,0.459522,53.008102
0.066414,2.891834,0.166071,2.975836,0.964412,100,0.463688,53.009987
0.067247,2.892515,0.167737,2.975841,0.972743,100,0.467854,53.006088
0.06808,2.893291,0.169404,2.975832,0.981074,100,0.47202,53.002209
0.068914,2.894115,0.171071,2.975843,0.989405,100,0.476187,53.00288
0.069747,2.894931,0.172737,2.975852,0.997736,100,0.480353,53.00745
0.07058,2.895747,0.174404,2.975861,1.006067,100,0.484519,53.007027
0.071414,2.896533,0.17607,2.975851,1.014398,100,0.488685,53.006321
0.072247,2.897281,0.177737,2.975817,1.022729,100,0.492852,53.007683
0.07308,2.898029,0.179403,2.975824,1.031059,100,0.497018,53.013325
0.073913,2.898555,0.18107,2.975829,1.03939,100,0.501184,53.016998
0.074747,2.898876,0.182737,2.97584,1.047721,100,0.50535,53.01939
0.07558,2.899201,0.184403,2.975866,1.056052,100,0.509517,53.018269
0.076413,2.899523,0.18607,2.975871,1.064383,100,0.513683,53.013332
0.077247,2.89994,0.187736,2.975842,1.072714,100,0.517849,53.003628
0.07808,2.900584,0.189403,2.975863,1.081045,100,0.522015,52.994335
0.078913,2.901349,0.19107,2.975907,1.089375,100,0.526182,52.989941
0.079746,2.90221,0.192736,2.975976,1.097706,100,0.530348,52.982288
0.08058,2.90324,0.194403,2.975946,1.106037,100,0.534514,52.968269
0.081413,2.904342,0.196069,2.975995,1.114368,100,0.53868,52.947296
0.082246,2.905443,0.197736,2.975991,1.122699,100,0.542847,52.930401
0.08308,2.906544,0.199403,2.975978,1.13103,100,0.547013,52.926174
0.083913,2.907526,0.201069,2.975974,1.139361,100,0.551179,52.925961
0.084746,2.908396,0.202736,2.975975,1.147692,100,0.555346,52.926743
0.085579,2.909251,0.204402,2.975955,1.156023,100,0.559512,52.930656
0.086413,2.909906,0.206069,2.975898,1.164353,100,0.563678,52.935989
0.087246,2.91037,0.207735,2.975862,1.172684,100,0.567844,52.940281
0.088079,2.910801,0.209402,2.975841,1.181015,100,0.572011,52.94043
0.088913,2.911229,0.211069,2.975883,1.189346,100,0.576177,52.946182
0.089746,2.911686,0.212735,2.975902,1.197677,100,0.580343,52.959969
0.090579,2.91221,0.214402,2.975924,1.206008,100,0.584509,52.964386
0.091412,2.91276,0.216068,2.975934,1.214339,100,0.588676,52.958233
0.092246,2.913272,0.217735,2.975938,1.22267,100,0.592842,52.957882
0.093079,2.913602,0.219402,2.975965,1.231,100,0.597008,52.956787
0.093912,2.913832,0.221068,2.975942,1.239331,100,0.601174,52.952
0.094746,2.914061,0.222735,2.975909,1.247662,100,0.605341,52.942936
0.095579,2.914289,0.224401,2.975906,1.255993,100,0.609507,52.940018
0.096412,2.914377,0.226068,2.9759,1.264324,100,0.613673,52.946205
0.097245,2.914366,0.227734,2.975946,1.272655,100,0.61784,52.949577
0.098079,2.914344,0.229401,2.975995,1.280986,100,0.622006,52.940025
0.098912,2.9144,0.231068,2.976004,1.289317,100,0.626172,52.932785
0.099745,2.914547,0.232734,2.976027,1.297647,100,0.630338,52.924145
0.100579,2.914724,0.234401,2.976017,1.305978,100,0.634505,52.90802
0.101412,2.914899,0.236067,2.976016,1.314309,100,0.638671,52.895771
0.102245,2.91491,0.237734,2.976018,1.32264,100,0.642837,52.893703
0.103078,2.914586,0.239401,2.976006,1.330971,100,0.647003,52.897491
0.103912,2.914136,0.241067,2.975987,1.339302,100,0.65117,52.898434
0.104745,2.913728,0.242734,2.976002,1.347633,100,0.655336,52.895985
0.105578,2.913743,0.2444,2.976011,1.355964,100,0.659502,52.894279
0.106412,2.913946,0.246067,2.97602,1.364294,100,0.663668,52.900028
0.107245,2.914151,0.247733,2.97601,1.372625,100,0.667835,52.910198
0.108078,2.914354,0.2494,2.976008,1.380956,100,0.672001,52.919369
0.108911,2.914479,0.251067,2.976042,1.389287,100,0.676167,52.923069
0.109745,2.914516,0.252733,2.976061,1.397618,100,0.680333,52.913513
0.110578,2.91453,0.2544,2.976051,1.405949,100,0.6845,52.894802
0.111411,2.914359,0.256066,2.976051,1.41428,100,0.688666,52.875755
0.112245,2.913839,0.257733,2.976033,1.422611,100,0.692832,52.861115
0.113078,2.913197,0.2594,2.976057,1.430941,100,0.696998,52.846615
0.113911,2.912559,0.261066,2.976063,1.439272,100,0.701165,52.823776
0.114744,2.911924,0.262733,2.976112,1.447603,100,0.705331,52.796303
0.115578,2.911599,0.264399,2.976112,1.455934,100,0.709497,52.770325
0.116411,2.911398,0.266066,2.976071,1.464265,100,0.713664,52.753551
0.117244,2.911207,0.267733,2.976078,1.472596,100,0.71783,52.746311
0.118077,2.911078,0.269399,2.976135,1.480927,100,0.721996,52.752499
0.118911,2.911025,0.271066,2.976121,1.489258,100,0.726162,52.757057
0.119744,2.911001,0.272732,2.976146,1.497588,100,0.730329,52.753014
0.120577,2.910976,0.274399,2.976165,1.505919,100,0.734495,52.739265
0.121411,2.91087,0.276065,2.976226,1.51425,100,0.738661,52.726849
0.122244,2.910595,0.277732,2.976261,1.522581,100,0.742827,52.715431
0.123077,2.910233,0.279399,2.97626,1.530912,100,0.746994,52.702217
0.12391,2.909882,0.281065,2.976297,1.539243,100,0.75116,52.685856
0.124744,2.909669,0.282732,2.97631,1.547574,100,0.755326,52.663219
0.125577,2.909575,0.284398,2.976317,1.555905,100,0.759492,52.642784
