UV 1_280,UV 1_280,Cond,Cond,Conc B,Conc B
ml,mAU,ml,mS/cm,ml,%
UV 1_280 ml,UV 1_280 mAU,Cond ml,Cond mS/cm,Conc B ml,Conc B %
-0.02346,0.95527,-0.025124,3.12105,-0.017654,100
-0.022627,0.953892,-0.023457,3.121005,-0.009323,100
-0.021794,0.952513,-0.02179,3.121012,-0.000992,100
-0.020961,0.950971,-0.020124,3.121025,0.00734,100
-0.020127,0.949362,-0.018457,3.121067,0.015671,100
-0.019294,0.947722,-0.01679,3.121078,0.024003,100
-0.018461,0.946098,-0.015124,3.121134,0.032334,100
-0.017628,0.94448,-0.013457,3.121123,0.040665,100
-0.016795,0.943882,-0.01179,3.121118,0.048997,100
-0.015961,0.953684,-0.010124,3.121156,0.057328,100
-0.015128,0.953718,-0.008457,3.121167,0.06566,100
-0.014295,0.953751,-0.006791,3.121159,0.073991,100
-0.013462,0.953786,-0.005124,3.121176,0.082322,100
-0.012628,0.953752,-0.003457,3.121206,0.090654,100
-0.011795,0.95365,-0.001791,3.121259,0.098985,100
-0.010962,0.953534,-0.000124,3.121342,0.107317,100
-0.010129,0.953128,0.001543,3.121528,0.115648,100
-0.009295,0.95257,0.003209,3.121886,0.12398,100
-0.008462,0.951982,0.004876,3.122345,0.132311,100
-0.007629,0.951405,0.006543,3.122809,0.140642,100
-0.006796,0.950842,0.008209,3.123219,0.148974,100
-0.005963,0.950465,0.009876,3.123613,0.157305,100
-0.005129,0.950126,0.011543,3.123937,0.165637,100
-0.004296,0.949837,0.013209,3.124219,0.173968,100
-0.003463,0.949675,0.014876,3.124456,0.182299,100
-0.00263,0.949539,0.016542,3.124585,0.190631,100
-0.001796,0.949404,0.018209,3.12474,0.198962,100
-0.000963,0.949268,0.019876,3.124857,0.207294,100
-0.00013,0.949069,0.021542,3.124918,0.215625,100
0.000703,0.948819,0.023209,3.124903,0.223956,100
0.001537,0.948559,0.024876,3.124842,0.232288,100
0.00237,0.948482,0.026542,3.124802,0.240619,100
0.003203,0.948516,0.028209,3.124715,0.248951,100
0.004036,0.948564,0.029876,3.124667,0.257282,100
0.004869,0.948612,0.031542,3.124569,0.265613,100
0.005703,0.94865,0.033209,3.124413,0.273945,100
0.006536,0.948597,0.034876,3.124304,0.282276,100
0.007369,0.948532,0.036542,3.124197,0.290608,100
0.008202,0.948393,0.038209,3.124116,0.298939,100
0.009036,0.947946,0.039875,3.124034,0.307271,100
0.009869,0.947455,0.041542,3.123901,0.315602,100
0.010702,0.946969,0.043209,3.123729,0.323933,100
0.011535,0.946487,0.044875,3.123627,0.332265,100
0.012369,0.946411,0.046542,3.123549,0.340596,100
0.013202,0.946664,0.048209,3.123386,0.348928,100
0.014035,0.946947,0.049875,3.123274,0.357259,100
0.014868,0.947475,0.051542,3.123135,0.36559,100
0.015701,0.948187,0.053209,3.123003,0.373922,100
0.016535,0.948913,0.054875,3.122885,0.382253,100
0.017368,0.949639,0.056542,3.122787,0.390585,100
0.018201,0.950366,0.058209,3.122691,0.398916,100
0.019034,0.951244,0.059875,3.122597,0.407247,100
0.019868,0.952127,0.061542,3.122546,0.415579,100
0.020701,0.95301,0.063208,3.122476,0.42391,100
0.021534,0.953186,0.064875,3.122427,0.432242,100
0.022367,0.953314,0.066542,3.122324,0.440573,100
0.023201,0.953443,0.068208,3.122248,0.448905,100
0.024034,0.953572,0.069875,3.122218,0.457236,100
0.024867,0.953389,0.071542,3.12218,0.465567,100
0.0257,0.952718,0.073208,3.122108,0.473899,100
0.026533,0.952037,0.074875,3.122076,0.48223,100
0.027367,0.951379,0.076542,3.121992,0.490562,100
0.0282,0.950868,0.078208,3.121909,0.498893,100
0.029033,0.95036,0.079875,3.121845,0.507224,100
0.029866,0.949848,0.081542,3.121797,0.515556,100
0.0307,0.94934,0.083208,3.121734,0.523887,100
0.031533,0.9492,0.084875,3.121733,0.532219,100
0.032366,0.949156,0.086541,3.12173,0.54055,100
0.033199,0.949112,0.088208,3.121701,0.548881,100
0.034033,0.949093,0.089875,3.121644,0.557213,100
0.034866,0.94909,0.091541,3.121537,0.565544,100
0.035699,0.949087,0.093208,3.12152,0.573876,100
0.036532,0.949082,0.094875,3.121531,0.582207,100
0.037365,0.949014,0.096541,3.121495,0.590539,100
0.038199,0.948823,0.098208,3.121428,0.59887,100
