User: USER;Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\;Test run no.: 11736
Test name: Max-OPA2;Date: 2022-09-08;Time: 16:59:04

ID1: 220908 tube ads ABm1-40;ID2: Wizard script `max-OPA`;ID3: unmerged;
Fluorescence (FI), multichromatic

Group;Well;Content; Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1); Raw Data (340-30/440-40 1);
;;Time [h];0;0,07;0,13;0,20;0,27;0,33;0,40;0,47;0,53;0,60;0,67;0,73;0,80;0,87;0,93;1,00;
A;A05;Sample X1;3942;5214;5535;5648;5797;5831;5963;6002;6056;6050;6094;6057;6025;6025;5935;5914;
A;A06;Sample X2;4881;5534;5724;5775;5879;5889;6016;6068;6064;6111;6183;6066;6143;6121;6080;5926;
A;A07;Sample X3;4796;5689;5938;5933;6090;6097;6177;6204;6280;6205;6273;6180;6214;6204;6150;6077;
A;A08;Sample X4;3730;5044;5558;5662;5785;5774;5891;5848;5951;5921;5979;5918;5933;5953;5875;5853;
A;B01;Sample X1;5028;5450;5679;5698;5845;5873;5974;5993;6058;5989;6037;5906;5975;6039;5924;5857;
A;B02;Sample X2;4481;5350;5561;5684;5774;5789;5922;5957;6039;6021;6061;6044;5994;6022;6002;5941;
A;B03;Sample X3;4642;5301;5542;5612;5693;5741;5825;5865;5853;5872;5931;5830;5936;5931;5830;5779;
A;B04;Sample X4;5084;5719;5852;5905;6017;5987;6090;6119;6179;6144;6178;6129;6176;6159;6098;6046;
A;G01;Sample X1;3987;5890;6185;6313;6432;6534;6618;6653;6670;6560;6627;6653;6560;6566;6507;6536;
A;G02;Sample X2;3970;5329;5587;5752;5901;5910;6088;6087;6130;6125;6079;6126;6161;6095;6064;6031;
A;G03;Sample X3;4793;5341;5574;5626;5811;5773;5849;5893;5812;5864;5892;5804;5866;5878;5817;5732;
A;G04;Sample X4;3803;4926;5161;5297;5400;5429;5535;5591;5642;5549;5629;5631;5665;5576;5555;5488;
D;A01;Sample X1;4850;5722;5951;5991;6116;6168;6262;6237;6280;6267;6308;6218;6247;6269;6181;6131;
D;A02;Sample X2;3678;4899;5346;5529;5634;5670;5806;5850;5902;5855;5851;5844;5860;5863;5807;5751;
D;A03;Sample X3;3558;4734;5232;5341;5444;5534;5656;5687;5719;5750;5778;5713;5784;5738;5681;5676;
D;A04;Sample X4;4818;5321;5531;5620;5713;5710;5877;5841;5882;5894;5928;5840;5873;5956;5876;5818;
