[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231125 salt canaries_4.8uM_AB1-40_salt_5_04.lcd
Output Date,12/5/2023
Output Time,2:49:16 PM

[File Information]
Type,Data File
Generated,11/26/2023 2:55:44 PM
Generated by,System Administrator
Modified,11/26/2023 3:11:18 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,11/26/2023 2:56:17 PM
Sample Type,2:Control
Level,0
Sample Name,4.8uM_AB1-40_salt
Sample ID,005
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,B11
Injection Volume,10
Injection Count,0
Bar Code,

[Original Files]
Data File,C:\LabSolutions\Data\Max\231125 salt canaries_4.8uM_AB1-40_salt_5_04.lcd
Method File,C:\LabSolutions\Data\Max\BioShell_AB_MS_QC-Salt.lcm
Batch File,C:\LabSolutions\Data\Max\231125 salt canaries.lcb
Report Format File,C:\LabSolutions\System\DEFAULT.lsr
Tuning File,C:\LabSolutions\Data\Max\Tuning 230629 max.lct

[File Description]


[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.00000,-3983
0.00167,-3983
0.00333,-3986
0.00500,-3989
0.00667,-3993
0.00833,-3998
0.01000,-4004
0.01167,-1
0.01333,-10
0.01500,-19
0.01667,-26
0.01833,-34
0.02000,-42
0.02167,-1
0.02333,-8
0.02500,-14
0.02667,-18
0.02833,-22
0.03000,-25
0.03167,-27
0.03333,-30
0.03500,-33
0.03667,-36
0.03833,-40
0.04000,-43
0.04167,-47
0.04333,-50
0.04500,-53
0.04667,-56
0.04833,-59
0.05000,-62
0.05167,-65
0.05333,-69
0.05500,-73
0.05667,-77
0.05833,-82
0.06000,-87
0.06167,-92
0.06333,-98
0.06500,-104
0.06667,-109
0.06833,-112
0.07000,-114
0.07167,-115
0.07333,-117
0.07500,-118
0.07667,-119
0.07833,-120
0.08000,-122
0.08167,-123
0.08333,-125
0.08500,-127
0.08667,-129
0.08833,-132
0.09000,-135
0.09167,-137
0.09333,-139
0.09500,-139
0.09667,-140
0.09833,-140
0.10000,-142
0.10167,-144
0.10333,-148
0.10500,-152
0.10667,-157
0.10833,-161
0.11000,-165
0.11167,-168
0.11333,-172
0.11500,-175
0.11667,-178
0.11833,-181
0.12000,-183
0.12167,-185
0.12333,-187
0.12500,-188
0.12667,-189
0.12833,-190
0.13000,-191
0.13167,-191
0.13333,-192
0.13500,-191
0.13667,-191
0.13833,-190
0.14000,-189
0.14167,-190
0.14333,-191
0.14500,-194
0.14667,-198
0.14833,-201
0.15000,-204
0.15167,-206
0.15333,-208
0.15500,-209
0.15667,-210
0.15833,-211
0.16000,-212
0.16167,-212
0.16333,-213
0.16500,-215
0.16667,-216
0.16833,-219
0.17000,-221
0.17167,-225
0.17333,-228
0.17500,-230
0.17667,-231
0.17833,-232
0.18000,-232
0.18167,-232
0.18333,-233
0.18500,-234
0.18667,-236
0.18833,-239
0.19000,-241
0.19167,-243
0.19333,-244
0.19500,-244
0.19667,-243
0.19833,-242
0.20000,-241
0.20167,-240
0.20333,-239
0.20500,-239
0.20667,-239
0.20833,-240
0.21000,-243
0.21167,-247
0.21333,-253
0.21500,-259
0.21667,-263
0.21833,-267
0.22000,-269
0.22167,-272
0.22333,-287
0.22500,-326
0.22667,-392
0.22833,-485
0.23000,-608
0.23167,-1094
0.23333,-2237
0.23500,-4129
0.23667,-6787
0.23833,-10199
0.24000,-13828
0.24167,-17419
0.24333,-21148
0.24500,-25258
0.24667,-29921
0.24833,-31632
0.25000,-27615
0.25167,-17418
0.25333,-1303
0.25500,20327
0.25667,43061
0.25833,64517
0.26000,85618
0.26167,107887
0.26333,132551
0.26500,152493
0.26667,162714
0.26833,163573
0.27000,156702
0.27167,143641
0.27333,126552
0.27500,106065
0.27667,81362
0.27833,51469
0.28000,15680
0.28167,-18527
0.28333,-46651
0.28500,-70020
0.28667,-91104
0.28833,-111983
0.29000,-128650
0.29167,-138302
0.29333,-141621
0.29500,-140002
0.29667,-134676
0.29833,-129151
0.30000,-125770
0.30167,-124777
0.30333,-125817
0.30500,-128461
0.30667,-130738
0.30833,-131247
0.31000,-129795
0.31167,-126549
0.31333,-121723
0.31500,-114992
0.31667,-105728
0.31833,-93391
0.32000,-77607
0.32167,-58174
0.32333,-39825
0.32500,-25524
0.32667,-14692
0.32833,-5998
0.33000,1727
0.33167,7826
0.33333,11854
0.33500,14221
0.33667,15449
0.33833,15950
0.34000,16000
0.34167,15749
0.34333,15268
0.34500,14586
0.34667,13718
0.34833,12843
0.35000,12057
0.35167,11327
0.35333,10591
0.35500,9799
0.35667,9064
0.35833,8450
0.36000,7920
0.36167,7419
0.36333,6901
0.36500,6434
0.36667,6055
0.36833,5737
0.37000,5445
0.37167,5151
0.37333,4878
0.37500,4636
0.37667,4407
0.37833,4171
0.38000,3912
0.38167,3654
0.38333,3406
0.38500,3150
0.38667,2870
0.38833,2552
0.39000,2248
0.39167,1989
0.39333,1760
0.39500,1541
0.39667,1311
0.39833,1113
0.40000,970
0.40167,874
0.40333,810
0.40500,765
0.40667,739
0.40833,735
0.41000,751
0.41167,783
0.41333,829
0.41500,876
0.41667,916
0.41833,949
0.42000,978
0.42167,1007
0.42333,1031
0.42500,1045
0.42667,1052
0.42833,1052
0.43000,1048
0.43167,1041
0.43333,1029
0.43500,1013
