[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231124 QC and VolTest_AB1-40 reps MM (231124)_4_04.lcd
Output Date,12/9/2023
Output Time,6:37:10 PM

[File Information]
Type,Data File
Generated,11/24/2023 1:32:58 PM
Generated by,System Administrator
Modified,12/8/2023 4:51:28 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,11/24/2023 1:33:31 PM
Sample Type,0:Unknown
Level,0
Sample Name,AB1-40 reps MM (231124)
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,A12
Injection Volume,10
Injection Count,0
Bar Code,

[Original Files]
Data File,C:\LabSolutions\Data\Max\231124 QC and VolTest_AB1-40 reps MM (231124)_4_04.lcd
Method File,C:\LabSolutions\Data\Max\BioShell_AB_MS_QC-Salt.lcm
Batch File,C:\LabSolutions\Data\Max\231124 QC and VolTest.lcb
Report Format File,C:\LabSolutions\System\DEFAULT.lsr
Tuning File,C:\LabSolutions\Data\Max\Tuning 230629 max.lct

[File Description]


[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.00000,-3956
0.00167,-3956
0.00333,-3962
0.00500,-3969
0.00667,-3976
0.00833,-4
0.01000,-11
0.01167,-20
0.01333,-31
0.01500,-41
0.01667,-48
0.01833,-55
0.02000,-60
0.02167,-65
0.02333,-69
0.02500,-73
0.02667,-75
0.02833,-1
0.03000,-3
0.03167,-5
0.03333,-7
0.03500,-10
0.03667,-13
0.03833,-17
0.04000,-21
0.04167,-25
0.04333,-28
0.04500,-32
0.04667,-37
0.04833,-41
0.05000,-44
0.05167,-47
0.05333,-49
0.05500,-51
0.05667,-52
0.05833,-54
